Observation,TextUrn,Image,Comments
urn:cite:op:gustavus.1,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.19,0.2156,0.019,0.0173",
urn:cite:op:gustavus.2,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.205,0.2141,0.013,0.0188",
urn:cite:op:gustavus.3,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.215,0.2111,0.017,0.0233",
urn:cite:op:gustavus.4,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.228,0.2044,0.015,0.0308",
urn:cite:op:gustavus.5,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.242,0.2059,0.016,0.0278",
urn:cite:op:gustavus.6,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.257,0.2111,0.014,0.0203",
urn:cite:op:gustavus.7,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.271,0.2134,0.011,0.021",
urn:cite:op:gustavus.8,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.282,0.2119,0.02,0.021",
urn:cite:op:gustavus.9,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.3,0.2134,0.008,0.0128",
urn:cite:op:gustavus.10,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.307,0.2096,0.015,0.018",
urn:cite:op:gustavus.11,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.32,0.2081,0.016,0.0218",
urn:cite:op:gustavus.12,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.332,0.2111,0.014,0.0165",
urn:cite:op:gustavus.13,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.346,0.2164,0.008,0.0113",
urn:cite:op:gustavus.14,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.357,0.2149,0.012,0.0173",
urn:cite:op:gustavus.15,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.37,0.2104,0.017,0.0255",
urn:cite:op:gustavus.16,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.383,0.2149,0.017,0.0098",
urn:cite:op:gustavus.17,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.394,0.2126,0.016,0.0195",
urn:cite:op:gustavus.18,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.409,0.2089,0.011,0.0188",
urn:cite:op:gustavus.19,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.421,0.2164,0.014,0.012",
urn:cite:op:gustavus.20,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.431,0.2141,0.01,0.0128",
urn:cite:op:gustavus.21,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.44,0.2141,0.01,0.0165",
urn:cite:op:gustavus.22,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.44,0.2141,0.01,0.0165",
urn:cite:op:gustavus.23,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.455,0.2126,0.019,0.0218",
urn:cite:op:gustavus.24,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.474,0.2171,0.01,0.0105",
urn:cite:op:gustavus.25,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.481,0.2141,0.016,0.0135",
urn:cite:op:gustavus.26,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.495,0.2171,0.01,0.0143",
urn:cite:op:gustavus.27,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.504,0.2171,0.01,0.0098",
urn:cite:op:gustavus.28,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.513,0.2089,0.01,0.0225",
urn:cite:op:gustavus.29,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.524,0.2059,0.011,0.0255",
urn:cite:op:gustavus.30,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.53,0.2164,0.011,0.0105",
urn:cite:op:gustavus.31,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.541,0.2141,0.009,0.012",
urn:cite:op:gustavus.32,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.551,0.2141,0.012,0.0173",
urn:cite:op:gustavus.33,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.561,0.2156,0.01,0.0158",
urn:cite:op:gustavus.34,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"urn:cite:hmt:vaimg.VA178RN-0349@0.57,0.2141,0.009,0.0173",
