Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:13.A1,"urn:cite:hmt:vaimg.VA175RN-0346@0.118,0.3193,0.057,0.0458",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A2,"urn:cite:hmt:vaimg.VA175RN-0346@0.114,0.432,0.066,0.0293",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A3,"urn:cite:hmt:vaimg.VA175VN-0677@0.904,0.4914,0.051,0.0473",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msAint.hmt:13.A4,"urn:cite:hmt:vaimg.VA175VN-0677@0.911,0.6679,0.039,0.0368",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msAint.hmt:13.A5,"urn:cite:hmt:vaimg.VA176RN-0347@0.119,0.3103,0.076,0.0526",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A6,"urn:cite:hmt:vaimg.VA176RN-0347@0.11,0.402,0.082,0.0526",urn:cite:hmt:msA.176r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A7,"urn:cite:hmt:vaimg.VA176VN-0678@0.884,0.6011,0.062,0.0383",urn:cite:hmt:msA.176v
urn:cts:greekLit:tlg5026.msAint.hmt:13.A8,"urn:cite:hmt:vaimg.VA177RN-0348@0.12,0.3486,0.056,0.0368",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A9,"urn:cite:hmt:vaimg.VA177VN-0679@0.893,0.4185,0.042,0.0376",urn:cite:hmt:msA.177v
urn:cts:greekLit:tlg5026.msAint.hmt:13.A10,"urn:cite:hmt:vaimg.VA178RN-0349@0.11,0.4553,0.076,0.0263",urn:cite:hmt:msA.178r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A11,"urn:cite:hmt:vaimg.VA178RN-0349@0.12,0.4944,0.076,0.0443",urn:cite:hmt:msA.178r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A12,"urn:cite:hmt:vaimg.VA178VN-0680@0.879,0.4756,0.062,0.0293",urn:cite:hmt:msA.178v
urn:cts:greekLit:tlg5026.msAint.hmt:13.A13,"urn:cite:hmt:vaimg.VA179RN-0350@0.117,0.2044,0.069,0.0541",urn:cite:hmt:msA.179r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A14,"urn:cite:hmt:vaimg.VA179RN-0350@0.122,0.3734,0.069,0.0639",urn:cite:hmt:msA.179r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A15,"urn:cite:hmt:vaimg.VA179RN-0350@0.118,0.4515,0.07,0.027",urn:cite:hmt:msA.179r
urn:cts:greekLit:tlg5026.msAint.hmt:13.A16,"urn:cite:hmt:vaimg.VA179RN-0350@0.134,0.6221,0.07,0.0308",urn:cite:hmt:msA.179r
