Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:13.A1,"urn:cite:hmt:vaimg.VA175RN-0346@0.538,0.2855,0.029,0.009",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAil.hmt:13.A2,"urn:cite:hmt:vaimg.VA175RN-0346@0.323,0.4328,0.061,0.0098",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAil.hmt:13.A3,"urn:cite:hmt:vaimg.VA175RN-0346@0.288,0.7137,0.067,0.0098",urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg5026.msAil.hmt:13.A4,"urn:cite:hmt:vaimg.VA175VN-0677@0.722,0.2569,0.08,0.0173",urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg5026.msAil.hmt:13.A5,"urn:cite:hmt:vaimg.VA176VN-0678@0.513,0.6551,0.071,0.024",urn:cite:hmt:msA.176v
urn:cts:greekLit:tlg5026.msAil.hmt:13.A6,"urn:cite:hmt:vaimg.VA177RN-0348@0.463,0.5192,0.096,0.0158",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msAil.hmt:13.A7,"urn:cite:hmt:vaimg.VA177RN-0348@0.291,0.5379,0.053,0.0143",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msAil.hmt:13.A8,"urn:cite:hmt:vaimg.VA177RN-0348@0.392,0.6491,0.052,0.0158",urn:cite:hmt:msA.177r
urn:cts:greekLit:tlg5026.msAil.hmt:13.A9,"urn:cite:hmt:vaimg.VA177VN-0679@0.6,0.5327,0.059,0.0143",urn:cite:hmt:msA.177v
urn:cts:greekLit:tlg5026.msAil.hmt:13.A10,"urn:cite:hmt:vaimg.VA177VN-0679@0.705,0.5327,0.072,0.0143",urn:cite:hmt:msA.177v
urn:cts:greekLit:tlg5026.msAil.hmt:13.A11,"urn:cite:hmt:vaimg.VA178RN-0349@0.43,0.4688,0.056,0.0135",urn:cite:hmt:msA.178r
