Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:13.558,"urn:cite:hmt:vaimg.VA175RN-0346@0.182,0.2231,0.454,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:13.559,"urn:cite:hmt:vaimg.VA175RN-0346@0.181,0.2404,0.454,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:13.560,"urn:cite:hmt:vaimg.VA175RN-0346@0.182,0.2577,0.454,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:13.561,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.562,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.563,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.564,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.565,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.566,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.567,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.568,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.569,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.570,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.571, ""
urn:cts:greekLit:tlg0012.tlg001.msA:13.572, ""
urn:cts:greekLit:tlg0012.tlg001.msA:13.573,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.574,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.575,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.576,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.577,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.578,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.579,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.580,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.581,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.582,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.583,""
urn:cts:greekLit:tlg0012.tlg001.msA:13.584,""
